strike,ttm,put_call,market_iv,model_iv,abs_vol_error,market_price,model_price,abs_price_error
4800.00000000,0.25000000,call,0.28000000,0.00000100,0.27999900,601.60380379,404.08787668,197.51592711
5000.00000000,0.25000000,call,0.26000000,0.14880901,0.11119099,445.62042426,350.92706566,94.69335860
5200.00000000,0.25000000,call,0.23500000,0.04247076,0.19252924,301.57308188,116.14820629,185.42487560
5800.00000000,0.25000000,call,0.19500000,0.10326068,0.09173932,52.85532859,4.93938677,47.91594183
5600.00000000,0.25000000,call,0.20500000,0.00000000,0.20500000,105.67511689,-9.49589535,115.17101225
5400.00000000,0.25000000,call,0.21500000,0.00000000,0.21500000,184.87215857,-155.96132119,340.83347976
4800.00000000,0.50000000,call,0.27500000,0.00000100,0.27499900,693.36798453,429.91915747,263.44882706
5000.00000000,0.50000000,call,0.25500000,0.13344161,0.12155839,542.39469909,385.65969632,156.73500277
5200.00000000,0.50000000,call,0.23000000,0.00000100,0.22999900,396.31384233,56.24220901,340.07163332
5800.00000000,0.50000000,call,0.20000000,0.12598190,0.07401810,126.76287175,42.02892712,84.73394464
5600.00000000,0.50000000,call,0.20500000,0.00000000,0.20500000,190.45618055,-218.43613503,408.89231558
5400.00000000,0.50000000,call,0.21500000,0.00000000,0.21500000,280.22186769,-58.70036650,338.92223419
