strike,ttm,market_iv,model_iv,abs_error
4800.000000,0.250000,0.280000,0.514283,0.234283
5000.000000,0.250000,0.260000,0.481331,0.221331
5200.000000,0.250000,0.235000,0.449523,0.214523
5800.000000,0.250000,0.195000,0.370772,0.175772
5600.000000,0.250000,0.205000,0.392220,0.187220
5400.000000,0.250000,0.215000,0.419338,0.204338
4800.000000,0.500000,0.275000,0.504270,0.229270
5000.000000,0.500000,0.255000,0.478810,0.223810
5200.000000,0.500000,0.230000,0.453967,0.223967
5800.000000,0.500000,0.200000,0.388468,0.188468
5600.000000,0.500000,0.205000,0.407946,0.202946
5400.000000,0.500000,0.215000,0.430120,0.215120
