call_put,strike,mid,rate,q,spot,maturity_years
call,70.000000,30.10492140,0.010000,0.000000,100.000000,0.150000
put,70.000000,0.00000012,0.010000,0.000000,100.000000,0.150000
call,72.000000,28.10791991,0.010000,0.000000,100.000000,0.150000
put,72.000000,0.00000087,0.010000,0.000000,100.000000,0.150000
call,74.000000,26.11092244,0.010000,0.000000,100.000000,0.150000
put,74.000000,0.00000565,0.010000,0.000000,100.000000,0.150000
call,76.000000,24.11394611,0.010000,0.000000,100.000000,0.150000
put,76.000000,0.00003157,0.010000,0.000000,100.000000,0.150000
call,78.000000,22.11706543,0.010000,0.000000,100.000000,0.150000
put,78.000000,0.00015314,0.010000,0.000000,100.000000,0.150000
call,80.000000,20.12055811,0.010000,0.000000,100.000000,0.150000
put,80.000000,0.00064806,0.010000,0.000000,100.000000,0.150000
call,82.000000,18.12531400,0.010000,0.000000,100.000000,0.150000
put,82.000000,0.00240620,0.010000,0.000000,100.000000,0.150000
call,84.000000,16.13378956,0.010000,0.000000,100.000000,0.150000
put,84.000000,0.00788401,0.010000,0.000000,100.000000,0.150000
call,86.000000,14.15183716,0.010000,0.000000,100.000000,0.150000
put,86.000000,0.02293387,0.010000,0.000000,100.000000,0.150000
call,88.000000,12.19150122,0.010000,0.000000,100.000000,0.150000
put,88.000000,0.05960017,0.010000,0.000000,100.000000,0.150000
call,90.000000,10.27418646,0.010000,0.000000,100.000000,0.150000
put,90.000000,0.13928766,0.010000,0.000000,100.000000,0.150000
call,92.000000,8.43265645,0.010000,0.000000,100.000000,0.150000
put,92.000000,0.29475990,0.010000,0.000000,100.000000,0.150000
call,94.000000,6.70981723,0.010000,0.000000,100.000000,0.150000
put,94.000000,0.56892293,0.010000,0.000000,100.000000,0.150000
call,96.000000,5.15300568,0.010000,0.000000,100.000000,0.150000
put,96.000000,1.00911362,0.010000,0.000000,100.000000,0.150000
call,98.000000,3.80460771,0.010000,0.000000,100.000000,0.150000
put,98.000000,1.65771790,0.010000,0.000000,100.000000,0.150000
call,100.000000,2.69213306,0.010000,0.000000,100.000000,0.150000
