scenario,scheme,steps,paths,price,std_error,ci_low,ci_high,analytic_price,model_iv,analytic_iv,bias_price,rmse_price,bias_iv,rmse_iv
base,euler,8,80000,8.22604000,0.02333760,8.18030000,8.27178000,4.42000000,0.19474602,0.09834616,3.80604000,3.80611155,0.09639986,0.09640167
base,euler,16,80000,8.04246000,0.02234350,7.99867000,8.08625000,4.42000000,0.19009355,0.09834616,3.62246000,3.62252891,0.09174739,0.09174914
base,euler,32,80000,7.90584000,0.02176940,7.86318000,7.94851000,4.42000000,0.18663166,0.09834616,3.48584000,3.48590798,0.08828549,0.08828722
base,euler,64,80000,7.83286000,0.02151970,7.79068000,7.87504000,4.42000000,0.18478253,0.09834616,3.41286000,3.41292785,0.08643637,0.08643809
base,qe,8,80000,8.84452000,0.01889960,8.80747000,8.88156000,4.42000000,0.21042602,0.09834616,4.42452000,4.42456037,0.11207986,0.11208088
base,qe,16,80000,8.83566000,0.01924120,8.79794000,8.87337000,4.42000000,0.21020133,0.09834616,4.41566000,4.41570192,0.11185517,0.11185623
base,qe,32,80000,8.82027000,0.01971390,8.78163000,8.85891000,4.42000000,0.20981104,0.09834616,4.40027000,4.40031416,0.11146488,0.11146600
base,qe,64,80000,8.81843000,0.02015350,8.77893000,8.85793000,4.42000000,0.20976438,0.09834616,4.39843000,4.39847617,0.11141822,0.11141939
high_volvol,euler,8,80000,8.61476000,0.02355410,8.56860000,8.66093000,1.75718000,0.20459992,0.03008783,6.85758000,6.85762045,0.17451209,0.17451322
high_volvol,euler,16,80000,8.25529000,0.02179870,8.21257000,8.29802000,1.75718000,0.19548737,0.03008783,6.49811000,6.49814656,0.16539954,0.16540056
high_volvol,euler,32,80000,7.92648000,0.02052460,7.88625000,7.96671000,1.75718000,0.18715464,0.03008783,6.16930000,6.16933414,0.15706681,0.15706776
high_volvol,euler,64,80000,7.68183000,0.01984010,7.64294000,7.72072000,1.75718000,0.18095613,0.03008783,5.92465000,5.92468322,0.15086831,0.15086923
high_volvol,qe,8,80000,7.54909000,0.00432434,7.54061000,7.55756000,1.75718000,0.17759347,0.03008783,5.79191000,5.79191161,0.14750564,0.14750568
high_volvol,qe,16,80000,7.34222000,0.01169280,7.31930000,7.36514000,1.75718000,0.17235348,0.03008783,5.58504000,5.58505224,0.14226565,0.14226599
high_volvol,qe,32,80000,7.34873000,0.01275370,7.32373000,7.37373000,1.75718000,0.17251836,0.03008783,5.59155000,5.59156454,0.14243054,0.14243094
high_volvol,qe,64,80000,7.33757000,0.01359930,7.31092000,7.36423000,1.75718000,0.17223570,0.03008783,5.58039000,5.58040657,0.14214787,0.14214833
near_feller,euler,8,80000,3.74645000,0.01410730,3.71880000,3.77410000,0.85313000,0.12411661,0.02023306,2.89332000,2.89335439,0.10388355,0.10388492
near_feller,euler,16,80000,3.62560000,0.01408000,3.59800000,3.65320000,0.85313000,0.11981064,0.02023306,2.77247000,2.77250575,0.09957758,0.09957900
near_feller,euler,32,80000,3.47281000,0.01377630,3.44581000,3.49981000,0.85313000,0.11436624,0.02023306,2.61968000,2.61971622,0.09413318,0.09413462
near_feller,euler,64,80000,3.34845000,0.01357990,3.32183000,3.37506000,0.85313000,0.10993447,0.02023306,2.49532000,2.49535695,0.08970142,0.08970289
near_feller,qe,8,80000,1.70620000,0.00278624,1.70074000,1.71166000,0.85313000,0.05128839,0.02023306,0.85307000,0.85307455,0.03105534,0.03105552
near_feller,qe,16,80000,1.42226000,0.00179232,1.41874000,1.42577000,0.85313000,0.04107598,0.02023306,0.56913000,0.56913282,0.02084292,0.02084303
near_feller,qe,32,80000,1.84766000,0.00840481,1.83119000,1.86414000,0.85313000,0.05636016,0.02023306,0.99453000,0.99456551,0.03612710,0.03612850
near_feller,qe,64,80000,1.86967000,0.00922438,1.85160000,1.88775000,0.85313000,0.05714860,0.02023306,1.01654000,1.01658185,0.03691554,0.03691719
