payoff,time_seconds,paths_prng,paths_qmc,rmse_prng,rmse_qmc,rmse_ratio
call,0.0000229513,304.1563305028,13.4299096028,0.6896184635,0.0914258293,7.5429281698
call,0.0000536443,710.9069824974,31.3898332978,0.4510772464,0.0598013446,7.5429281698
call,0.0001253833,1661.6084791929,73.3677041472,0.2950481940,0.0391158695,7.5429281698
call,0.0002930594,3883.6905616351,171.4829117047,0.1929900865,0.0255855660,7.5429281698
call,0.0006849701,9077.3804824708,400.8083576901,0.1262342025,0.0167354374,7.5429281698
call,0.0016009860,21216.6327661414,936.8125255003,0.0825693909,0.0109465965,7.5429281698
asian,0.0000562638,274.7804040581,29.7077525827,0.4666263410,0.2055585429,2.2700411007
asian,0.0001055003,515.2407621924,55.7050097375,0.3407666014,0.1501147276,2.2700411007
asian,0.0001978236,966.1280029580,104.4524691397,0.2488540968,0.1096253706,2.2700411007
asian,0.0003709391,1811.5867116724,195.8588349738,0.1817324857,0.0800569142,2.2700411007
asian,0.0006955480,3396.9064180520,367.2549203788,0.1327151000,0.0584637432,2.2700411007
asian,0.0013042222,6369.5395526226,688.6397366783,0.0969188184,0.0426947417,2.2700411007
