tenor_bucket,market_iv_bs_delta_mean_pnl,market_iv_bs_delta_mean_ticks,market_iv_bs_delta_pnl_sigma,calibrated_heston_delta_mean_pnl,calibrated_heston_delta_mean_ticks,calibrated_heston_delta_pnl_sigma,calibrated_heston_delta_evaluation_count,calibrated_heston_delta_valid_count,count,calibrated_heston_delta_invalid_count,trade_date,label,regime
30d,-23.177757910439762,-463.5551582087952,344.37294211253646,-23.147357216411997,-462.9471443282399,347.5276278782655,5,5,5,0,2020-03-16,stress-covid-a,stress
90d,-23.252080402655654,-465.041608053113,239.0688181998773,-23.164499102511975,-463.28998205023953,249.2495710508823,5,5,5,0,2020-03-16,stress-covid-a,stress
30d,-23.17779304199862,-463.5558608399724,344.37156717731995,-23.147379825474957,-462.9475965094992,347.5246794741272,5,5,5,0,2020-03-17,stress-covid-b,stress
90d,-23.25204872786009,-465.04097455720176,239.0693432846824,-23.16446328318875,-463.2892656637749,249.24904824971017,5,5,5,0,2020-03-17,stress-covid-b,stress
30d,-23.177784618101185,-463.5556923620237,344.37155540231794,-23.14736629689029,-462.9473259378057,347.5259318823851,5,5,5,0,2022-06-13,calm-inflation-a,calm
90d,-23.252059394417536,-465.0411878883507,239.06883272047523,-23.164495533587115,-463.2899106717423,249.24732761369037,5,5,5,0,2022-06-13,calm-inflation-a,calm
30d,-23.17773644274793,-463.55472885495857,344.3722626357162,-23.14733242793779,-462.9466485587558,347.52603927517896,5,5,5,0,2022-06-14,calm-inflation-b,calm
90d,-23.25206836613008,-465.0413673226015,239.06939191999484,-23.164503329444198,-463.2900665888839,249.2488491517539,5,5,5,0,2022-06-14,calm-inflation-b,calm
30d,-9.271077873839229,-185.42155747678456,137.74873632582953,-9.258914602983882,-185.17829205967763,139.01018142786367,5,5,5,0,2024-06-14,calm-june,calm
90d,-9.300834034241117,-186.01668068482235,95.62763354911554,-9.265806757043844,-185.31613514087684,99.69937593854402,5,5,5,0,2024-06-14,calm-june,calm
